Season,Date,jornada,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,true_result,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return,net_profit,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin
2015,2015-09-23,5,vallecano,sp gijon,2.25,3.4,3.2,2,1,D,0.5018149114639632,3.4,0.7061706989774748,D,0.7061706989774748,0.5018149114639632,3.4,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-09-23,5,malaga,villarreal,2.63,3.3,2.75,0,1,D,0.5088531677201047,3.3,0.6792154534763455,D,0.6792154534763455,0.5088531677201047,3.3,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-09-23,5,levante,eibar,2.38,3.1,3.25,1,1,D,0.5993255103702719,3.1,0.857909082147843,D,0.857909082147843,0.5993255103702719,3.1,True,3.1,2.1,3.1,2.1,✓,✓,≥5%,≥5%
2015,2015-09-24,5,betis,la coruna,2.25,3.3,3.3,0,0,A,0.42317646317597,3.3,0.3964823284807011,A,0.3964823284807011,0.42317646317597,3.3,True,3.3,2.3,3.3,2.3,✓,✓,≥5%,≥5%
2015,2015-09-25,6,valencia,granada,1.45,4.5,7.5,2,2,H,0.6164068984224905,1.45,-0.10620999728738878,A,0.37101359461070116,0.18280181261476014,7.5,True,1.45,0.44999999999999996,0.0,-1.0,✓,✗,<0%,≥5%
2015,2015-09-26,6,eibar,celta,3.75,3.4,2.05,1,1,D,0.5032761705250092,3.4,0.7111389797850312,D,0.7111389797850312,0.5032761705250092,3.4,True,3.4,2.4,3.4,2.4,✓,✓,≥5%,≥5%
2015,2015-09-26,6,sevilla,vallecano,1.44,4.75,7.0,2,2,H,0.5379021075948204,1.44,-0.22542096506345866,A,0.3872787035769669,0.1981826719395667,7.0,True,1.44,0.43999999999999995,0.0,-1.0,✓,✗,<0%,≥5%
2015,2015-09-26,6,barcelona,las palmas,1.08,11.0,26.0,2,2,H,0.909792743576614,1.08,-0.017423836937256798,H,-0.017423836937256798,0.909792743576614,1.08,True,1.08,0.08000000000000007,1.08,0.08000000000000007,✓,✓,<0%,<0%
2015,2015-09-26,6,villarreal,ath madrid,2.9,3.1,2.6,2,0,A,0.5922047896740479,2.6,0.5397324531525245,A,0.5397324531525245,0.5922047896740479,2.6,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-09-26,6,real madrid,malaga,1.11,10.0,21.0,1,2,H,0.968042050379641,1.11,0.07452667592140161,H,0.07452667592140161,0.968042050379641,1.11,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
