Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,true_result,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return,net_profit,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin
2009-09-27,2009,espanol,xerez,1.53,4.0,6.0,1,2,H,0.5283810504853147,1.53,-0.19157699275746853,A,0.5763309046236851,0.26272181743728085,6.0,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2009-09-27,2009,la coruna,villarreal,2.4,3.3,2.9,2,0,A,0.46617446234035437,2.9,0.3519059407870275,A,0.3519059407870275,0.46617446234035437,2.9,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-09-27,2009,mallorca,valladolid,1.85,3.4,4.2,2,2,H,0.4330291754446284,1.85,-0.19889602542743745,A,0.7227199920330991,0.41017142667454737,4.2,True,1.85,0.8500000000000001,0.0,-1.0,✓,✗,<0%,≥5%
2009-10-03,2009,ath madrid,zaragoza,1.57,3.8,6.0,2,2,H,0.7578383519236418,1.57,0.18980621252011765,H,0.18980621252011765,0.7578383519236418,1.57,True,1.57,0.5700000000000001,1.57,0.5700000000000001,✓,✓,≥5%,≥5%
2009-10-03,2009,barcelona,almeria,1.08,10.0,26.0,2,2,H,0.9812231391994468,1.08,0.05972099033540257,H,0.05972099033540257,0.9812231391994468,1.08,True,1.08,0.08000000000000007,1.08,0.08000000000000007,✓,✓,≥5%,≥5%
2009-10-03,2009,tenerife,la coruna,2.5,3.3,2.75,0,0,A,0.34509741322724113,2.75,-0.05098211362508687,D,0.13243352655146778,0.34316167471256603,3.3,True,2.75,1.75,0.0,-1.0,✓,✗,<0%,≥5%
2009-10-04,2009,getafe,osasuna,2.05,3.3,3.6,2,2,H,0.5036312765101558,2.05,0.03244411684581938,H,0.03244411684581938,0.5036312765101558,2.05,True,2.05,1.0499999999999998,2.05,1.0499999999999998,✓,✓,2–5%,2–5%
2009-10-04,2009,santander,valencia,3.4,3.4,2.1,0,0,A,0.5382601936081826,2.1,0.13034640657718333,A,0.13034640657718333,0.5382601936081826,2.1,True,2.1,1.1,2.1,1.1,✓,✓,≥5%,≥5%
2009-10-04,2009,sevilla,real madrid,3.75,3.5,1.95,2,0,A,0.6509695772826659,1.95,0.26939067570119857,A,0.26939067570119857,0.6509695772826659,1.95,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-10-04,2009,sp gijon,mallorca,2.45,3.3,2.8,2,2,H,0.46603193836308515,2.45,0.1417782489895587,H,0.1417782489895587,0.46603193836308515,2.45,True,2.45,1.4500000000000002,2.45,1.4500000000000002,✓,✓,≥5%,≥5%
2009-10-04,2009,valladolid,ath bilbao,2.4,3.3,2.88,1,1,D,0.5115159264675269,3.3,0.6880025573428385,D,0.6880025573428385,0.5115159264675269,3.3,True,3.3,2.3,3.3,2.3,✓,✓,≥5%,≥5%
2009-10-04,2009,villarreal,espanol,1.73,3.6,4.75,1,2,H,0.6615985253072874,1.73,0.14456544878160704,H,0.14456544878160704,0.6615985253072874,1.73,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-10-04,2009,xerez,malaga,2.4,3.3,2.88,1,1,D,0.3624944796154879,3.3,0.19623178273110997,D,0.19623178273110997,0.3624944796154879,3.3,True,3.3,2.3,3.3,2.3,✓,✓,≥5%,≥5%
2009-10-17,2009,la coruna,sevilla,3.6,3.3,2.1,2,0,A,0.6250866719656961,2.1,0.312682011127962,A,0.312682011127962,0.6250866719656961,2.1,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-10-17,2009,real madrid,valladolid,1.17,7.0,15.0,2,2,H,0.9156109068266713,1.17,0.07126476098720547,H,0.07126476098720547,0.9156109068266713,1.17,True,1.17,0.16999999999999993,1.17,0.16999999999999993,✓,✓,≥5%,≥5%
2009-10-17,2009,valencia,barcelona,4.75,3.75,1.7,1,0,A,0.4402964058234039,1.7,-0.25149611010021333,D,0.19732305890318602,0.3192861490408496,3.75,True,0.0,-1.0,3.75,2.75,✗,✓,<0%,≥5%
