Season,Date,jornada,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,true_result,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return,net_profit,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin
2010,2010-10-23,8,real madrid,santander,1.14,7.0,21.0,2,2,H,0.8980267813558908,1.14,0.023750530745715315,H,0.023750530745715315,0.8980267813558908,1.14,True,1.14,0.1399999999999999,1.14,0.1399999999999999,✓,✓,2–5%,2–5%
2010,2010-10-23,8,valencia,mallorca,1.57,3.75,6.0,0,2,H,0.7867477508751489,1.57,0.23519396887398392,H,0.23519396887398392,0.7867477508751489,1.57,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-10-23,8,zaragoza,barcelona,11.0,5.75,1.25,0,0,A,0.7925151649413094,1.25,-0.009356043823363303,A,-0.009356043823363303,0.7925151649413094,1.25,True,1.25,0.25,1.25,0.25,✓,✓,<0%,<0%
2010,2010-10-24,8,espanol,levante,1.75,3.4,5.0,2,2,H,0.6502527404446361,1.75,0.13794229577811312,H,0.13794229577811312,0.6502527404446361,1.75,True,1.75,0.75,1.75,0.75,✓,✓,≥5%,≥5%
2010,2010-10-24,8,getafe,sp gijon,1.73,3.5,5.0,2,2,H,0.5917264020237888,1.73,0.023686675501154664,D,0.19112954554696904,0.34032272729913404,3.5,True,1.73,0.73,0.0,-1.0,✓,✗,2–5%,≥5%
2010,2010-10-24,8,almeria,hercules,2.2,3.25,3.25,1,2,H,0.5428858961616401,2.2,0.19434897155560815,H,0.19434897155560815,0.5428858961616401,2.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-10-24,8,villarreal,ath madrid,2.3,3.25,3.1,2,2,H,0.7078698264160223,2.3,0.628100600756851,H,0.628100600756851,0.7078698264160223,2.3,True,2.3,1.2999999999999998,2.3,1.2999999999999998,✓,✓,≥5%,≥5%
2010,2010-10-24,8,osasuna,malaga,2.1,3.25,3.5,2,2,H,0.3942764517152178,2.1,-0.17201945139804253,D,0.13906335785758905,0.35048103318695045,3.25,True,2.1,1.1,0.0,-1.0,✓,✗,<0%,≥5%
2010,2010-10-24,8,sevilla,ath bilbao,1.7,3.6,5.0,2,2,H,0.6980200585168689,1.7,0.18663409947867704,H,0.18663409947867704,0.6980200585168689,1.7,True,1.7,0.7,1.7,0.7,✓,✓,≥5%,≥5%
2010,2010-10-25,8,sociedad,la coruna,2.1,3.25,3.5,2,1,D,0.4210624079773512,3.25,0.3684528259263915,D,0.3684528259263915,0.4210624079773512,3.25,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-10-30,9,barcelona,sevilla,1.29,5.0,11.0,2,2,H,0.8782351428906735,1.29,0.13292333432896886,H,0.13292333432896886,0.8782351428906735,1.29,True,1.29,0.29000000000000004,1.29,0.29000000000000004,✓,✓,≥5%,≥5%
2010,2010-10-30,9,hercules,real madrid,10.0,5.0,1.3,0,0,A,0.7834877044152877,1.3,0.01853401573987412,A,0.01853401573987412,0.7834877044152877,1.3,True,1.3,0.30000000000000004,1.3,0.30000000000000004,✓,✓,0–2%,0–2%
2010,2010-10-30,9,valencia,zaragoza,1.4,4.33,7.5,1,2,H,0.719377360355517,1.4,0.007128304497723725,H,0.007128304497723725,0.719377360355517,1.4,True,0.0,-1.0,0.0,-1.0,✗,✗,0–2%,0–2%
2010,2010-10-31,9,ath bilbao,getafe,2.0,3.5,3.6,2,2,H,0.6425098673338667,2.0,0.28501973466773345,H,0.28501973466773345,0.6425098673338667,2.0,True,2.0,1.0,2.0,1.0,✓,✓,≥5%,≥5%
2010,2010-10-31,9,ath madrid,almeria,1.5,4.33,6.0,1,2,H,0.573215752360583,1.5,-0.14017637145912554,A,0.7651310008002004,0.2941885001333667,6.0,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2010,2010-10-31,9,la coruna,espanol,2.63,3.3,2.63,2,2,H,0.5468238633677904,2.63,0.43814676065728886,H,0.43814676065728886,0.5468238633677904,2.63,True,2.63,1.63,2.63,1.63,✓,✓,≥5%,≥5%
2010,2010-10-31,9,malaga,sociedad,2.1,3.25,3.6,0,2,H,0.4746646002602365,2.1,-0.003204339453503291,H,-0.003204339453503291,0.4746646002602365,2.1,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,<0%
2010,2010-10-31,9,santander,osasuna,2.5,3.3,2.75,2,2,H,0.46117768912916074,2.5,0.15294422282290188,H,0.15294422282290188,0.46117768912916074,2.5,True,2.5,1.5,2.5,1.5,✓,✓,≥5%,≥5%
2010,2010-10-31,9,sp gijon,villarreal,3.5,3.3,2.1,1,0,A,0.49853597492738266,2.1,0.04692554734750365,H,0.22892440107880296,0.3511212574510866,3.5,True,0.0,-1.0,0.0,-1.0,✗,✗,2–5%,≥5%
2010,2010-11-01,9,mallorca,levante,1.62,3.8,5.5,2,2,H,0.7100220078598779,1.62,0.1502356527330022,H,0.1502356527330022,0.7100220078598779,1.62,True,1.62,0.6200000000000001,1.62,0.6200000000000001,✓,✓,≥5%,≥5%
2010,2010-11-06,10,espanol,malaga,1.91,3.4,4.0,2,2,H,0.5332796385746759,1.91,0.01856410967763078,H,0.01856410967763078,0.5332796385746759,1.91,True,1.91,0.9099999999999999,1.91,0.9099999999999999,✓,✓,0–2%,0–2%
2010,2010-11-06,10,sociedad,santander,2.1,3.25,3.6,2,1,D,0.38301181189438344,3.25,0.24478838865674613,D,0.24478838865674613,0.38301181189438344,3.25,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-11-07,10,almeria,sp gijon,2.1,3.3,3.5,1,2,H,0.478763140786623,2.1,0.005402595651908371,D,0.3232126867951495,0.4009735414530756,3.3,True,0.0,-1.0,3.3,2.3,✗,✓,0–2%,≥5%
2010,2010-11-07,10,getafe,barcelona,8.5,5.0,1.33,0,0,A,0.6449036813437891,1.33,-0.14227810381276051,H,0.35270185278729094,0.15914139444556363,8.5,True,1.33,0.33000000000000007,0.0,-1.0,✓,✗,<0%,≥5%
2010,2010-11-07,10,levante,la coruna,2.3,3.2,3.2,0,0,A,0.3583969044073961,3.2,0.14687009410366758,A,0.14687009410366758,0.3583969044073961,3.2,True,3.2,2.2,3.2,2.2,✓,✓,≥5%,≥5%
2010,2010-11-07,10,osasuna,hercules,2.0,3.3,3.8,2,2,H,0.5085755088595153,2.0,0.017151017719030603,D,0.15894598148580164,0.3511957519653945,3.3,True,2.0,1.0,0.0,-1.0,✓,✗,0–2%,≥5%
2010,2010-11-07,10,real madrid,ath madrid,1.29,5.5,9.5,2,2,H,0.8864518949347115,1.29,0.14352294446577796,H,0.14352294446577796,0.8864518949347115,1.29,True,1.29,0.29000000000000004,1.29,0.29000000000000004,✓,✓,≥5%,≥5%
2010,2010-11-07,10,villarreal,ath bilbao,1.8,3.6,4.33,2,2,H,0.7304648387346352,1.8,0.31483670972234346,H,0.31483670972234346,0.7304648387346352,1.8,True,1.8,0.8,1.8,0.8,✓,✓,≥5%,≥5%
2010,2010-11-07,10,zaragoza,mallorca,2.4,3.2,3.0,2,2,H,0.4898921969266544,2.4,0.17574127262397066,H,0.17574127262397066,0.4898921969266544,2.4,True,2.4,1.4,2.4,1.4,✓,✓,≥5%,≥5%
2010,2010-11-08,10,sevilla,valencia,2.2,3.4,3.2,2,2,H,0.5592248942399698,2.2,0.23029476732793364,H,0.23029476732793364,0.5592248942399698,2.2,True,2.2,1.2000000000000002,2.2,1.2000000000000002,✓,✓,≥5%,≥5%
2010,2010-11-13,11,barcelona,villarreal,1.2,6.25,13.0,2,2,H,0.8922407221663001,1.2,0.0706888665995602,H,0.0706888665995602,0.8922407221663001,1.2,True,1.2,0.19999999999999996,1.2,0.19999999999999996,✓,✓,≥5%,≥5%
2010,2010-11-13,11,ath bilbao,almeria,1.67,3.75,5.0,2,2,H,0.6365187046974566,1.67,0.06298623684475246,H,0.06298623684475246,0.6365187046974566,1.67,True,1.67,0.6699999999999999,1.67,0.6699999999999999,✓,✓,≥5%,≥5%
2010,2010-11-13,11,ath madrid,osasuna,1.62,3.75,5.5,2,2,H,0.6614131829857058,1.62,0.07148935643684351,H,0.07148935643684351,0.6614131829857058,1.62,True,1.62,0.6200000000000001,1.62,0.6200000000000001,✓,✓,≥5%,≥5%
2010,2010-11-14,11,hercules,sociedad,2.1,3.3,3.5,2,2,H,0.5868184176657024,2.1,0.23231867709797505,H,0.23231867709797505,0.5868184176657024,2.1,True,2.1,1.1,2.1,1.1,✓,✓,≥5%,≥5%
2010,2010-11-14,11,sp gijon,real madrid,12.0,5.5,1.25,0,0,A,0.7237775676631351,1.25,-0.09527804042108112,H,0.47212495940510424,0.12267707995042534,12.0,True,1.25,0.25,0.0,-1.0,✓,✗,<0%,≥5%
2010,2010-11-14,11,malaga,levante,1.95,3.5,3.8,2,2,H,0.5306235122047038,1.95,0.03471584879917233,A,0.06489865598337907,0.2802364884166787,3.8,True,1.95,0.95,0.0,-1.0,✓,✗,2–5%,≥5%
2010,2010-11-14,11,zaragoza,sevilla,3.0,3.25,2.38,0,0,A,0.43694927600150113,2.38,0.03993927688357268,A,0.03993927688357268,0.43694927600150113,2.38,True,2.38,1.38,2.38,1.38,✓,✓,2–5%,2–5%
2010,2010-11-14,11,santander,espanol,2.38,3.0,3.2,1,2,H,0.547236282651534,2.38,0.3024223527106509,H,0.3024223527106509,0.547236282651534,2.38,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-11-14,11,valencia,getafe,1.62,3.75,5.5,2,2,H,0.742745681854947,1.62,0.20324800460501424,H,0.20324800460501424,0.742745681854947,1.62,True,1.62,0.6200000000000001,1.62,0.6200000000000001,✓,✓,≥5%,≥5%
2010,2010-11-14,11,mallorca,la coruna,1.8,3.5,4.5,1,2,H,0.5683505959111197,1.8,0.023031072640015582,D,0.04825798277812554,0.2995022807937502,3.5,True,0.0,-1.0,3.5,2.5,✗,✓,2–5%,2–5%
