Season,Matchday,Date,HomeTeam_norm,AwayTeam_norm,pred_key,pred_key_match,y_true,y_pred,proba_H,proba_D,proba_A,conf_maxprob,entropy,margin_top12,B365H,B365D,B365A,overround,pH_mkt,pD_mkt,pA_mkt,odds_pick,p_pick,ev_pick,kelly_pick,bet_placed,correct,profit,cum_profit_season
2020,2,2020-09-19,villarreal,eibar,2020|2020-09-19|villarreal|eibar,2020|2020-09-19|villarreal|eibar,H,H,0.5563733702409921,0.31156501843223555,0.13206161132677233,0.5563733702409921,0.9568980937717189,0.24480835180875654,1.57,4.0,6.0,1.0536093418259023,0.6045340050377834,0.23727959697732998,0.15818639798488665,1.57,0.5563733702409921,-0.1264938087216424,0.0,1,1,0.5700000000000001,5.220000000000001
2020,2,2020-09-20,betis,valladolid,2020|2020-09-20|betis|valladolid,2020|2020-09-20|betis|valladolid,H,H,0.546874880069302,0.2525754005882043,0.20054971934249377,0.546874880069302,0.9998353430885689,0.29429947948109764,1.85,3.6,4.33,1.0492652005354084,0.5151610291323099,0.2647355288596593,0.22010344200803078,1.85,0.546874880069302,0.011718528128208672,0.013786503680245494,1,1,0.8500000000000001,6.07
2020,2,2020-09-20,granada,alaves,2020|2020-09-20|granada|alaves,2020|2020-09-20|granada|alaves,H,D,0.3499872545146025,0.41894307488758703,0.2310696705978104,0.41894307488758703,1.0704514459173478,0.06895582037298453,2.05,3.1,4.2,1.0484807613053089,0.46524924066464185,0.30766482043952115,0.22708593889583706,3.1,0.41894307488758703,0.2987235321515199,0.1422493010245333,1,0,-1.0,5.07
2020,2,2020-09-20,huesca,cadiz,2020|2020-09-20|huesca|cadiz,2020|2020-09-20|huesca|cadiz,A,H,0.4360775088911494,0.34346682108350673,0.22045567002534386,0.4360775088911494,1.0623088999539771,0.09261068780764264,2.1,3.1,4.0,1.0487711213517665,0.4540461369461735,0.3075796411570853,0.23837422189674112,2.1,0.4360775088911494,-0.08423723132858629,0.0,1,0,-1.0,4.07
2020,2,2020-09-20,sociedad,real madrid,2020|2020-09-20|sociedad|real madrid,2020|2020-09-20|sociedad|realmadrid,D,A,0.3074706480332326,0.15443359263353357,0.538095759333234,0.538095759333234,0.9845719990899329,0.23062511130000135,4.75,3.8,1.72,1.0550795593635252,0.19953596287703013,0.24941995359628769,0.5510440835266821,1.72,0.538095759333234,-0.0744752939468376,0.0,1,0,-1.0,3.0700000000000003
2020,2,2021-01-06,ath bilbao,barcelona,2020|2021-01-06|ath bilbao|barcelona,2020|2021-01-06|athbilbao|barcelona,A,A,0.18921506307925126,0.3174960913188843,0.49328884560186437,0.49328884560186437,1.0278663758873874,0.17579275428298008,4.2,3.6,1.83,1.0623211033047097,0.2241273729332517,0.2614819350887937,0.5143906919779547,1.83,0.49328884560186437,-0.09728141254858819,0.0,1,1,0.8300000000000001,3.9000000000000004
2020,2,2021-02-17,levante,ath madrid,2020|2021-02-17|levante|ath madrid,2020|2021-02-17|levante|athmadrid,D,A,0.1846832083979466,0.27147925823411595,0.5438375333679374,0.5438375333679374,0.9971784137933866,0.27235827513382144,4.75,3.4,1.8,1.0601995184038528,0.19857235561323813,0.2774172615184945,0.5240103828682673,1.8,0.5438375333679374,-0.021092439937712704,0.0,1,0,-1.0,2.9000000000000004
2020,2,2021-03-17,sevilla,elche,2020|2021-03-17|sevilla|elche,2020|2021-03-17|sevilla|elche,H,H,0.765505745660802,0.14715060687773845,0.08734364746145964,0.765505745660802,0.6994773676052072,0.6183551387830635,1.4,4.5,8.0,1.0615079365079365,0.6728971962616822,0.20934579439252335,0.11775700934579439,1.4,0.765505745660802,0.0717080439251227,0.17927010981280678,1,1,0.3999999999999999,3.3000000000000007
2020,3,2020-09-26,alaves,getafe,2020|2020-09-26|alaves|getafe,2020|2020-09-26|alaves|getafe,D,A,0.30085622337487533,0.3390929713068028,0.36005080531832195,0.36005080531832195,1.0958834037130907,0.020957834011519128,3.5,2.9,2.37,1.0524828001912243,0.2714669405166285,0.32763251441662067,0.40090054506675094,2.37,0.36005080531832195,-0.1466795913955769,0.0,1,0,-1.0,2.3000000000000007
2020,3,2020-09-26,betis,real madrid,2020|2020-09-26|betis|real madrid,2020|2020-09-26|betis|realmadrid,A,A,0.3135424669744307,0.1966955127077442,0.48976202031782506,0.48976202031782506,1.0331088266642303,0.17621955334339434,4.0,4.0,1.8,1.0555555555555556,0.23684210526315788,0.23684210526315788,0.5263157894736842,1.8,0.48976202031782506,-0.1184283634279149,0.0,1,1,0.8,3.1000000000000005
2020,3,2020-09-26,elche,sociedad,2020|2020-09-26|elche|sociedad,2020|2020-09-26|elche|sociedad,A,A,0.20849756942656386,0.35055765502608327,0.4409447755473529,0.4409447755473529,1.0554146846686752,0.09038712052126963,4.2,3.3,1.95,1.0539460539460541,0.22590837282780407,0.287519747235387,0.48657187993680884,1.95,0.4409447755473529,-0.14015768768266185,0.0,1,1,0.95,4.050000000000001
2020,3,2020-09-26,valencia,huesca,2020|2020-09-26|valencia|huesca,2020|2020-09-26|valencia|huesca,D,H,0.3909155654453306,0.37652813231800486,0.2325563022366645,0.3909155654453306,1.0741633139235425,0.014387433127325766,2.0,3.4,4.0,1.0441176470588236,0.4788732394366197,0.28169014084507044,0.23943661971830985,2.0,0.3909155654453306,-0.2181688691093387,0.0,1,0,-1.0,3.0500000000000007
2020,3,2020-09-27,ath madrid,granada,2020|2020-09-27|ath madrid|granada,2020|2020-09-27|athmadrid|granada,H,H,0.6657229754469537,0.23192568708486772,0.10235133746817872,0.6657229754469537,0.8430862408589557,0.433797288362086,1.5,4.0,7.5,1.05,0.6349206349206349,0.23809523809523808,0.12698412698412698,1.5,0.6657229754469537,-0.0014155368295694637,0.0,1,1,0.5,3.5500000000000007
2020,3,2020-09-27,barcelona,villarreal,2020|2020-09-27|barcelona|villarreal,2020|2020-09-27|barcelona|villarreal,H,H,0.5827599569630759,0.28820272532753577,0.1290373177093883,0.5827599569630759,0.9374528611502093,0.29455723163554015,1.53,4.33,6.0,1.0512083201255868,0.6217557060086298,0.21969658895916944,0.15854770503220061,1.53,0.5827599569630759,-0.10837726584649382,0.0,1,1,0.53,4.08
2020,3,2020-09-27,cadiz,sevilla,2020|2020-09-27|cadiz|sevilla,2020|2020-09-27|cadiz|sevilla,A,A,0.22668925412640772,0.2684691218875969,0.5048416239859954,0.5048416239859954,1.0345532066952803,0.2363725020983985,5.0,3.6,1.7,1.0660130718954248,0.187614960147149,0.26057633353770693,0.5518087063151441,1.7,0.5048416239859954,-0.1417692392238078,0.0,1,1,0.7,4.78
