Season,Matchday,Date,HomeTeam_norm,AwayTeam_norm,pred_key,y_true,y_pred_market,pH_mkt_pred,pD_mkt_pred,pA_mkt_pred,conf_maxprob,entropy,margin_top12,B365H,B365D,B365A,overround,odds_pick,p_pick,ev_pick,kelly_pick,bet_placed,correct,profit,cum_profit_season
2015,2,2015-08-28,villarreal,espanol,<NA>#1910,H,H,0.6043404859191114,0.2496880428665802,0.14597147121430845,0.6043404859191114,0.9317086822595986,0.3546524430525312,1.57,3.8,6.5,1.0539467237422318,1.57,0.6043404859191114,-0.05118543710699508,0.0,1,1,0.5700000000000001,-2.1799999999999997
2015,2,2015-08-29,barcelona,malaga,<NA>#1913,H,H,0.8678237650200267,0.09546061415220294,0.036715620827770364,0.8678237650200267,0.4685981041309237,0.7723631508678237,1.1,10.0,26.0,1.0475524475524476,1.1,0.8678237650200267,-0.04539385847797059,0.0,1,1,0.10000000000000009,-2.08
2015,2,2015-08-29,celta,vallecano,<NA>#1914,H,H,0.62175570600863,0.21969658895916946,0.15854770503220064,0.62175570600863,0.9204124663551144,0.4020591170494605,1.53,4.33,6.0,1.0512083201255868,1.53,0.62175570600863,-0.04871376980679615,0.0,1,1,0.53,-1.5499999999999998
2015,2,2015-08-29,real madrid,betis,<NA>#1911,H,H,0.8678237650200267,0.09546061415220294,0.036715620827770364,0.8678237650200267,0.4685981041309237,0.7723631508678237,1.1,10.0,26.0,1.0475524475524476,1.1,0.8678237650200267,-0.04539385847797059,0.0,1,1,0.10000000000000009,-1.4499999999999997
2015,2,2015-08-29,sociedad,sp gijon,<NA>#1912,D,H,0.5155482815057283,0.2725040916530278,0.21194762684124385,0.5155482815057283,1.02466524991437,0.2430441898527005,1.85,3.5,4.5,1.0484770484770483,1.85,0.5155482815057283,-0.046235679214402636,0.0,1,0,-1.0,-2.4499999999999997
2015,2,2015-08-30,eibar,ath bilbao,<NA>#1918,H,A,0.34017784963621667,0.2976556184316896,0.3621665319320938,0.3621665319320938,1.0953485726991121,0.021988682295877138,2.8,3.2,2.63,1.0498709940249866,2.63,0.3621665319320938,-0.047502021018593354,0.0,1,0,-1.0,-3.4499999999999997
2015,2,2015-08-30,getafe,granada,<NA>#1919,A,H,0.6611292637493511,0.21986746877576574,0.1190032674748832,0.6611292637493511,0.8599299837787826,0.44126179497358536,1.44,4.33,8.0,1.0503913266615346,1.44,0.6611292637493511,-0.04797386020093447,0.0,1,0,-1.0,-4.449999999999999
2015,2,2015-08-30,las palmas,levante,<NA>#1916,D,H,0.46444121915820036,0.29753265602322204,0.23802612481857766,0.46444121915820036,1.0585244951928323,0.16690856313497832,2.05,3.2,4.0,1.0503048780487805,2.05,0.46444121915820036,-0.04789550072568932,0.0,1,0,-1.0,-5.449999999999999
2015,2,2015-08-30,sevilla,ath madrid,<NA>#1915,A,A,0.23837422189674112,0.3075796411570853,0.4540461369461735,0.4540461369461735,1.0629459984843155,0.1464664957890882,4.0,3.1,2.1,1.0487711213517663,2.1,0.4540461369461735,-0.04650311241303562,0.0,1,1,1.1,-4.35
2015,2,2015-08-30,valencia,la coruna,<NA>#1917,D,H,0.4991932230738201,0.28892698668818073,0.2118797902379992,0.4991932230738201,1.0343283730842547,0.21026623638563935,1.91,3.3,4.5,1.0488127346766092,1.91,0.4991932230738201,-0.04654094392900371,0.0,1,0,-1.0,-5.35
