Date,Season_model,HomeTeam_norm,AwayTeam_norm,B365H_model,B365D_model,B365A_model,true_result_model,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return_model,net_profit_model,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin,Season_b365,B365H_b365,B365D_b365,B365A_b365,p_H,p_D,p_A,true_result_b365,bet365_pred,picked_odds,bet_return_b365,net_profit_b365,Cum_net_profit,edge_b365_pick,net_profit,delta_profit
2025-08-29,2025,valencia,getafe,2.3,2.9,3.6,2,2,H,0.3996990233945029,2.3,-0.0806922461926433,D,-0.0067752793420829,0.3424912829854886,2.9,True,2.3,1.2999999999999998,0.0,-1.0,✓,✗,<0%,<0%,2025,2.3,2.9,3.6,0.4112,0.3261,0.2627,2,2,2.3,2.3,1.2999999999999998,-0.7200000000000006,-0.054273335959039,1.2999999999999998,0.0
2025-08-30,2025,alaves,ath madrid,4.75,3.5,1.8,1,0,A,0.5939537673174803,1.8,0.0691167811714645,A,0.0691167811714645,0.5939537673174803,1.8,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%,2025,4.75,3.5,1.8,0.2002,0.2716,0.5282,1,0,1.8,0.0,-1.0,-1.7200000000000006,-0.0492454328832404,-1.0,0.0
2025-08-30,2025,oviedo,sociedad,3.5,3.1,2.25,2,0,A,0.4513498194670677,2.25,0.0155370938009022,A,0.0155370938009022,0.4513498194670677,2.25,True,0.0,-1.0,0.0,-1.0,✗,✗,0–2%,0–2%,2025,3.5,3.1,2.25,0.2714,0.3064,0.4222,2,0,2.25,0.0,-1.0,-2.7200000000000006,-0.0500972762645914,-1.0,0.0
2025-08-30,2025,girona,sevilla,2.4,3.3,3.0,0,1,D,0.3743884341522097,3.3,0.235481832702292,D,0.235481832702292,0.3743884341522097,3.3,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%,2025,2.4,3.3,3.0,0.3957,0.2878,0.3165,0,2,2.4,0.0,-1.0,-3.7200000000000006,-0.0503597122302157,-1.0,0.0
2025-08-30,2025,real madrid,mallorca,1.18,7.0,15.0,2,2,H,0.8080064498821565,1.18,-0.0465523891390553,D,0.0737772209111722,0.1533967458444531,7.0,True,1.18,0.1799999999999999,0.0,-1.0,✓,✗,<0%,≥5%,2025,1.18,7.0,15.0,0.8018,0.1352,0.0631,2,2,1.18,1.18,0.1799999999999999,-3.540000000000001,-0.0539095907147221,0.1799999999999999,0.0
2025-08-31,2025,betis,ath bilbao,3.0,3.1,2.55,0,1,D,0.3752737615028048,3.1,0.1633486606586951,D,0.1633486606586951,0.3752737615028048,3.1,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%,2025,3.0,3.1,2.55,0.318,0.3078,0.3742,0,0,2.55,2.55,1.5499999999999998,-1.6100000000000012,-0.0458660229330114,-1.0,-2.55
2025-08-31,2025,vallecano,barcelona,6.25,5.5,1.4,1,0,A,0.7196413059136247,1.4,0.0074978282790745,A,0.0074978282790745,0.7196413059136247,1.4,True,0.0,-1.0,0.0,-1.0,✗,✗,0–2%,0–2%,2025,6.25,5.5,1.4,0.1515,0.1722,0.6763,1,0,1.4,0.0,-1.0,-2.610000000000001,-0.0531234628627645,-1.0,0.0
2025-08-31,2025,espanol,osasuna,2.38,3.2,3.1,2,2,H,0.3592852167752111,2.38,-0.1449011840749975,D,0.0991704196527547,0.3434907561414858,3.2,True,2.38,1.38,0.0,-1.0,✓,✗,<0%,≥5%,2025,2.38,3.2,3.1,0.3982,0.2961,0.3057,2,2,2.38,2.38,1.38,-2.160000000000001,-0.0523561050012041,1.38,0.0
2025-08-31,2025,celta,villarreal,2.75,3.5,2.5,1,0,A,0.3802518618492976,2.5,-0.0493703453767558,D,-0.0275755576299482,0.2778355549628719,3.5,True,0.0,-1.0,3.5,2.5,✗,✓,<0%,<0%,2025,2.75,3.5,2.5,0.3465,0.2723,0.3812,1,0,2.5,0.0,-1.0,-3.160000000000001,-0.0470297029702968,-1.0,0.0
2025-09-12,2025,sevilla,elche,1.85,3.4,4.5,1,2,H,0.5586392315424425,1.85,0.0334825783535188,H,0.0334825783535188,0.5586392315424425,1.85,True,0.0,-1.0,0.0,-1.0,✗,✗,2–5%,2–5%,2025,1.85,3.4,4.5,0.5114,0.2783,0.2103,1,2,1.85,0.0,-1.0,-3.610000000000001,-0.0538191542704327,-1.0,0.0
2025-09-13,2025,getafe,oviedo,1.95,3.1,4.5,2,2,H,0.4315616749988882,1.95,-0.158454733752168,A,0.065622918882213,0.2368050930849362,4.5,True,1.95,0.95,0.0,-1.0,✓,✗,<0%,≥5%,2025,1.95,3.1,4.5,0.4849,0.305,0.2101,2,2,1.95,1.95,0.95,-2.660000000000001,-0.0544838373305527,0.95,0.0
2025-09-13,2025,sociedad,real madrid,5.0,4.33,1.6,0,0,A,0.5526154949728254,1.6,-0.1158152080434793,D,0.1630047846556144,0.2685923290197723,4.33,True,1.6,0.6000000000000001,0.0,-1.0,✓,✗,<0%,≥5%,2025,5.0,4.33,1.6,0.1894,0.2187,0.5919,0,0,1.6,1.6,0.6000000000000001,-2.060000000000001,-0.0529826671769915,0.6000000000000001,0.0
2025-09-13,2025,ath bilbao,alaves,1.6,3.9,5.75,0,2,H,0.5637365949048009,1.6,-0.0980214481523185,D,0.1592844081500661,0.2972524123461708,3.9,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%,2025,1.6,3.9,5.75,0.5922,0.243,0.1648,0,2,1.6,0.0,-1.0,-3.060000000000001,-0.0524230820018485,-1.0,0.0
2025-09-13,2025,ath madrid,villarreal,1.8,3.7,4.33,2,2,H,0.4838596782985001,1.8,-0.1290525790626997,D,0.2279344561318377,0.3318741773329291,3.7,True,1.8,0.8,0.0,-1.0,✓,✗,<0%,≥5%,2025,1.8,3.7,4.33,0.5257,0.2558,0.2185,2,2,1.8,1.8,0.8,-2.2600000000000007,-0.0537227235438884,0.8,0.0
2025-09-14,2025,barcelona,valencia,1.22,7.0,11.0,2,2,H,0.8423318183075776,1.22,0.0276448183352446,H,0.0276448183352446,0.8423318183075776,1.22,True,1.22,0.2199999999999999,1.22,0.2199999999999999,✓,✓,2–5%,2–5%,2025,1.22,7.0,11.0,0.7781,0.1356,0.0863,2,2,1.22,1.22,0.2199999999999999,-2.490000000000001,-0.0507275666936134,0.2199999999999999,0.0
2025-09-14,2025,celta,girona,1.73,3.9,4.75,1,2,H,0.585901138392136,1.73,0.0136089694183951,D,0.0420982274447205,0.2672046737037745,3.9,True,0.0,-1.0,3.9,2.9,✗,✓,0–2%,2–5%,2025,1.73,3.9,4.75,0.5532,0.2454,0.2015,1,2,1.73,0.0,-1.0,-3.2600000000000007,-0.0430358769166455,-1.0,0.0
2025-09-14,2025,levante,betis,3.25,3.25,2.3,1,0,A,0.3614046790817964,2.3,-0.1687692381118682,D,0.0843303152305712,0.3336400969940219,3.25,True,0.0,-1.0,3.25,2.25,✗,✓,<0%,≥5%,2025,3.25,3.25,2.3,0.293,0.293,0.414,1,0,2.3,0.0,-1.0,-4.260000000000001,-0.0477707006369428,-1.0,0.0
2025-09-14,2025,osasuna,vallecano,2.55,3.2,2.9,2,2,H,0.3593511511107681,2.55,-0.0836545646675414,D,0.1048993154584854,0.3452810360807766,3.2,True,2.55,1.5499999999999998,0.0,-1.0,✓,✗,<0%,≥5%,2025,2.55,3.2,2.9,0.3737,0.2978,0.3286,2,2,2.55,2.55,1.5499999999999998,-2.710000000000001,-0.0471511979061808,1.5499999999999998,0.0
2025-09-15,2025,espanol,mallorca,2.1,3.4,3.5,2,1,D,0.3751903811625049,3.4,0.2756472959525167,D,0.2756472959525167,0.3751903811625049,3.4,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%,2025,2.1,3.4,3.5,0.4509,0.2785,0.2706,2,2,2.1,2.1,1.1,-1.390000000000001,-0.0530503978779839,-1.0,-2.1
