Season,Matchday,Date,HomeTeam_norm,AwayTeam_norm,pred_key,y_true,y_pred_market,pH_mkt_pred,pD_mkt_pred,pA_mkt_pred,conf_maxprob,entropy,margin_top12,B365H,B365D,B365A,overround,odds_pick,p_pick,ev_pick,kelly_pick,bet_placed,correct,profit,cum_profit_season
2011,24,2012-02-19,granada,sociedad,2011|2012-02-19|granada|sociedad,H,H,0.4102564102564103,0.2948717948717949,0.2948717948717949,0.4102564102564103,1.0857308417878977,0.11538461538461542,2.3,3.2,3.2,1.0597826086956523,2.3,0.4102564102564103,-0.05641025641025632,0.0,1,1,1.2999999999999998,-30.34
2011,24,2012-02-19,levante,vallecano,2011|2012-02-19|levante|vallecano,A,H,0.4102564102564103,0.2948717948717949,0.2948717948717949,0.4102564102564103,1.0857308417878977,0.11538461538461542,2.3,3.2,3.2,1.0597826086956523,2.3,0.4102564102564103,-0.05641025641025632,0.0,1,0,-1.0,-31.34
2011,24,2012-02-19,mallorca,villarreal,2011|2012-02-19|mallorca|villarreal,H,H,0.41746111389864526,0.28901154039136984,0.29352734570998495,0.41746111389864526,1.0832269604763598,0.12393376818866031,2.25,3.25,3.2,1.0646367521367521,2.25,0.41746111389864526,-0.0607124937280481,0.0,1,1,1.25,-30.09
2011,24,2012-02-19,sp gijon,ath madrid,2011|2012-02-19|sp gijon|ath madrid,D,A,0.23415302516766423,0.2754741472560756,0.49037282757626016,0.49037282757626016,1.0445314209612733,0.21489868032018455,4.0,3.4,1.91,1.0676778564829075,1.91,0.49037282757626016,-0.06338789932934308,0.0,1,0,-1.0,-31.09
2011,24,2012-02-20,zaragoza,betis,2011|2012-02-20|zaragoza|betis,A,H,0.3625875566543057,0.29460238978162345,0.3428100535640709,0.3625875566543057,1.0948883843977826,0.019777503090234794,2.6,3.2,2.75,1.0607517482517483,2.6,0.3625875566543057,-0.05727235269880515,0.0,1,0,-1.0,-32.089999999999996
2011,25,2012-02-25,betis,getafe,2011|2012-02-25|betis|getafe,D,H,0.47134935304990755,0.27726432532347506,0.2513863216266174,0.47134935304990755,1.0573036363512132,0.1940850277264325,2.0,3.4,3.75,1.0607843137254902,2.0,0.47134935304990755,-0.0573012939001849,0.0,1,0,-1.0,-33.089999999999996
2011,25,2012-02-25,espanol,levante,2011|2012-02-25|espanol|levante,A,H,0.5433938829374321,0.2685918335662164,0.18801428349635152,0.5433938829374321,0.9987244697210999,0.27480204937121566,1.73,3.5,5.0,1.0637489677952106,1.73,0.5433938829374321,-0.05992858251824251,0.0,1,0,-1.0,-34.089999999999996
2011,25,2012-02-25,malaga,zaragoza,2011|2012-02-25|malaga|zaragoza,H,H,0.6515264333581534,0.22338049143708116,0.12509307520476545,0.6515264333581534,0.8739891254141381,0.42814594192107225,1.44,4.2,7.5,1.0658730158730159,1.44,0.6515264333581534,-0.06180193596425915,0.0,1,1,0.43999999999999995,-33.65
2011,25,2012-02-25,santander,sp gijon,2011|2012-02-25|santander|sp gijon,D,H,0.45925577013659924,0.2896844088553933,0.25105982100800756,0.45925577013659924,1.063258025054973,0.16957136128120592,2.05,3.25,3.75,1.0621638524077548,2.05,0.45925577013659924,-0.05852567121997165,0.0,1,0,-1.0,-34.65
2011,25,2012-02-26,ath madrid,barcelona,2011|2012-02-26|ath madrid|barcelona,A,A,0.13373025745734068,0.21619210212503112,0.6500776404176283,0.6500776404176283,0.8801378906534866,0.43388553829259713,7.0,4.33,1.44,1.0682484695186774,1.44,0.6500776404176283,-0.06388819779861532,0.0,1,1,0.43999999999999995,-34.21
2011,25,2012-02-26,osasuna,granada,2011|2012-02-26|osasuna|granada,H,H,0.4917509313464609,0.28461947844598195,0.22362959020755724,0.4917509313464609,1.0416342622580648,0.20713145290047896,1.91,3.3,4.2,1.064685750549625,1.91,0.4917509313464609,-0.06075572112825961,0.0,1,1,0.9099999999999999,-33.3
2011,25,2012-02-26,sociedad,mallorca,2011|2012-02-26|sociedad|mallorca,H,H,0.4452054794520548,0.28767123287671237,0.2671232876712329,0.4452054794520548,1.071303877118103,0.15753424657534243,2.1,3.25,3.5,1.0695970695970696,2.1,0.4452054794520548,-0.06506849315068486,0.0,1,1,1.1,-32.199999999999996
2011,25,2012-02-26,valencia,sevilla,2011|2012-02-26|valencia|sevilla,A,H,0.5352112676056339,0.26760563380281693,0.1971830985915493,0.5352112676056339,1.0074768166416161,0.26760563380281693,1.75,3.5,4.75,1.0676691729323307,1.75,0.5352112676056339,-0.06338028169014076,0.0,1,0,-1.0,-33.199999999999996
2011,25,2012-02-26,vallecano,real madrid,2011|2012-02-26|vallecano|real madrid,A,A,0.11673292374412723,0.19660281893747744,0.6866642573183954,0.6866642573183954,0.82863878300913,0.490061438380918,8.0,4.75,1.36,1.0708204334365323,1.36,0.6866642573183954,-0.06613661004698215,0.0,1,1,0.3600000000000001,-32.839999999999996
2011,25,2012-02-26,villarreal,ath bilbao,2011|2012-02-26|villarreal|ath bilbao,D,H,0.41746111389864526,0.28901154039136984,0.29352734570998495,0.41746111389864526,1.0832269604763598,0.12393376818866031,2.25,3.25,3.2,1.0646367521367521,2.25,0.41746111389864526,-0.0607124937280481,0.0,1,0,-1.0,-33.839999999999996
2011,26,2012-03-03,barcelona,sp gijon,2011|2012-03-03|barcelona|sp gijon,H,H,0.8774082709534912,0.08614553932997915,0.03644618971652964,0.8774082709534912,0.44666126260159145,0.791262731623512,1.08,11.0,26.0,1.0552965552965552,1.08,0.8774082709534912,-0.05239906737022948,0.0,1,1,0.08000000000000007,-33.76
2011,26,2012-03-03,getafe,malaga,2011|2012-03-03|getafe|malaga,A,H,0.39215686274509803,0.29411764705882354,0.3137254901960784,0.39215686274509803,1.0907115534410028,0.0784313725490196,2.4,3.2,3.0,1.0625,2.4,0.39215686274509803,-0.05882352941176483,0.0,1,0,-1.0,-34.76
2011,26,2012-03-03,mallorca,osasuna,2011|2012-03-03|mallorca|osasuna,D,H,0.4917509313464609,0.28461947844598195,0.22362959020755724,0.4917509313464609,1.0416342622580648,0.20713145290047896,1.91,3.3,4.2,1.064685750549625,1.91,0.4917509313464609,-0.06075572112825961,0.0,1,0,-1.0,-35.76
2011,26,2012-03-03,sevilla,ath madrid,2011|2012-03-03|sevilla|ath madrid,D,H,0.39593908629441626,0.2899492385786802,0.3141116751269035,0.39593908629441626,1.0895504542285734,0.08182741116751274,2.38,3.25,3.0,1.0611937082525318,2.38,0.39593908629441626,-0.05766497461928932,0.0,1,0,-1.0,-36.76
2011,26,2012-03-03,vallecano,santander,2011|2012-03-03|vallecano|santander,H,H,0.5141647343482206,0.2767416070168364,0.20909365863494303,0.5141647343482206,1.024776187076676,0.2374231273313842,1.83,3.4,4.5,1.0627879567127398,1.83,0.5141647343482206,-0.05907853614275621,0.0,1,1,0.8300000000000001,-35.93
2011,26,2012-03-04,ath bilbao,sociedad,2011|2012-03-04|ath bilbao|sociedad,H,H,0.5813953488372093,0.26162790697674426,0.1569767441860465,0.5813953488372093,0.9567710697169971,0.3197674418604651,1.62,3.6,6.0,1.0617283950617284,1.62,0.5813953488372093,-0.05813953488372081,0.0,1,1,0.6200000000000001,-35.309999999999995
2011,26,2012-03-04,granada,valencia,2011|2012-03-04|granada|valencia,A,A,0.2682926829268293,0.28455284552845533,0.4471544715447155,0.4471544715447155,1.0705156003455132,0.16260162601626016,3.5,3.3,2.1,1.064935064935065,2.1,0.4471544715447155,-0.06097560975609739,0.0,1,1,1.1,-34.21
2011,26,2012-03-04,real madrid,espanol,2011|2012-03-04|real madrid|espanol,H,H,0.8367784031478807,0.11819494944463814,0.04502664740748119,0.8367784031478807,0.5411115639049566,0.7185834537032425,1.13,8.0,21.0,1.057574799831437,1.13,0.8367784031478807,-0.054440404442894955,0.0,1,1,0.1299999999999999,-34.08
2011,26,2012-03-04,zaragoza,villarreal,2011|2012-03-04|zaragoza|villarreal,H,A,0.3028768233387358,0.28889789303079416,0.40822528363047,0.40822528363047,1.0862279537184079,0.10534846029173422,3.1,3.25,2.3,1.0650555615492503,2.3,0.40822528363047,-0.061081847649918974,0.0,1,0,-1.0,-35.08
2011,26,2012-03-05,levante,betis,2011|2012-03-05|levante|betis,H,H,0.3774574049803408,0.2948885976408912,0.327653997378768,0.3774574049803408,1.0934566705495832,0.04980340760157281,2.5,3.2,2.88,1.0597222222222222,2.5,0.3774574049803408,-0.056356487549148016,0.0,1,1,1.5,-33.58
2011,27,2012-03-10,betis,real madrid,2011|2012-03-10|betis|real madrid,A,A,0.13373025745734068,0.21619210212503112,0.6500776404176283,0.6500776404176283,0.8801378906534866,0.43388553829259713,7.0,4.33,1.44,1.0682484695186774,1.44,0.6500776404176283,-0.06388819779861532,0.0,1,1,0.43999999999999995,-33.14
2011,27,2012-03-10,malaga,levante,2011|2012-03-10|malaga|levante,H,H,0.6104945747546899,0.24580439457228306,0.14370103067302703,0.6104945747546899,0.924970812908058,0.36469018018240684,1.53,3.8,6.5,1.0705988198248262,1.53,0.6104945747546899,-0.06594330062532439,0.0,1,1,0.53,-32.61
2011,27,2012-03-10,sociedad,zaragoza,2011|2012-03-10|sociedad|zaragoza,H,H,0.5420741468672235,0.26049674280008245,0.19742911033269403,0.5420741468672235,1.0026557211447464,0.2815774040671411,1.73,3.6,4.75,1.0663387756481764,1.73,0.5420741468672235,-0.062211725919703253,0.0,1,1,0.73,-31.88
2011,27,2012-03-10,sp gijon,sevilla,2011|2012-03-10|sp gijon|sevilla,H,A,0.2888402625820569,0.2844638949671772,0.42669584245076586,0.42669584245076586,1.079728803890797,0.13785557986870894,3.25,3.3,2.2,1.0652680652680653,2.2,0.42669584245076586,-0.06126914660831506,0.0,1,0,-1.0,-32.879999999999995
2011,27,2012-03-11,ath madrid,granada,2011|2012-03-11|ath madrid|granada,H,H,0.7077140835102618,0.1981599433828733,0.09412597310686482,0.7077140835102618,0.7878562270419089,0.5095541401273884,1.33,4.75,10.0,1.062406015037594,1.33,0.7077140835102618,-0.058740268931351786,0.0,1,1,0.33000000000000007,-32.55
2011,27,2012-03-11,espanol,vallecano,2011|2012-03-11|espanol|vallecano,H,H,0.4473684210526316,0.27631578947368424,0.27631578947368424,0.4473684210526316,1.070651758426683,0.17105263157894735,2.1,3.4,3.4,1.0644257703081232,2.1,0.4473684210526316,-0.060526315789473595,0.0,1,1,1.1,-31.45
2011,27,2012-03-11,osasuna,ath bilbao,2011|2012-03-11|osasuna|ath bilbao,H,A,0.3353973168214654,0.2889576883384933,0.3756449948400413,0.3756449948400413,1.0929330525880538,0.04024767801857593,2.8,3.25,2.5,1.064835164835165,2.5,0.3756449948400413,-0.06088751289989669,0.0,1,0,-1.0,-32.449999999999996
2011,27,2012-03-11,santander,barcelona,2011|2012-03-11|santander|barcelona,A,A,0.07234631350069183,0.15675034591816564,0.7709033405811425,0.7709033405811425,0.6810597616450668,0.6141529946629769,13.0,6.0,1.22,1.0632618747372846,1.22,0.7709033405811425,-0.05949792449100616,0.0,1,1,0.21999999999999997,-32.23
2011,27,2012-03-11,valencia,mallorca,2011|2012-03-11|valencia|mallorca,D,H,0.6292134831460674,0.23595505617977527,0.1348314606741573,0.6292134831460674,0.9024167554533056,0.3932584269662921,1.5,4.0,7.0,1.0595238095238095,1.5,0.6292134831460674,-0.0561797752808989,0.0,1,0,-1.0,-33.23
